charter_number,website,scraped_timestamp
1,http://www.morrissheppardfcu.org,2025-12-24T11:17:42Z
6,http://www.noffcu.org,2025-12-24T11:17:43Z
12,http://www.franklintrust.org,2025-12-24T11:17:46Z
13,http://www.efcufinancial.org,2025-12-24T11:20:50Z
16,http://WWW.WOODMENFCU.ORG,2025-12-24T11:20:53Z
22,http://www.wctfcu.com,2025-12-24T11:21:00Z
26,http://WWW.FARMERSFCU.COM,2025-12-24T11:21:04Z
28,http://www.centrisfcu.org,2025-12-24T11:21:07Z
42,http://www.fdcommunityfcu.org,2025-12-24T11:21:11Z
47,http://www.fpsfcu.com,2025-12-24T11:21:14Z
48,http://www.eagleexpressfcu.com,2025-12-24T11:21:17Z
51,https://www.broadviewfcu.com,2025-12-24T11:21:21Z
53,http://www.motionfcu.org,2025-12-24T11:21:24Z
60,http://www.levo.org,2025-12-24T11:21:27Z
77,http://www.servicefirstfcu.org,2025-12-24T11:21:31Z
79,https://www.campusfederal.org,2025-12-24T11:21:34Z
82,https://www.fafcu.com,2025-12-24T11:21:37Z
90,http://WWW.POSTGAZETTEFCU.ORG,2025-12-24T11:21:41Z
98,http://www.nftfcu.org,2025-12-24T11:21:45Z
107,http://WWW.KEMBAFCU.ORG,2025-12-24T11:21:48Z
108,http://www.KEMBACHARLESTONFCU.ORG,2025-12-24T11:21:51Z
110,http://www.italoamericanfcu.com,2025-12-24T11:21:54Z
119,http://www.tpfcu.net,2025-12-24T11:21:58Z
120,http://WWW.COUNTYEXFCU.ORG,2025-12-24T11:22:01Z
132,https://mtvernonpostalefcu.com,2025-12-24T11:22:04Z
135,https://www.omahafcu.org,2025-12-24T11:22:08Z
138,http://www.vigocountyfcu.org,2025-12-24T11:22:11Z
146,http://www.teluwatt.com,2025-12-24T11:22:14Z
150,https://www.fedchoice.org/,2025-12-24T11:22:21Z
151,http://www.jfcu.org,2025-12-24T11:22:24Z
159,http://www.3riversfcu.org,2025-12-24T11:22:31Z
162,http://www.tdfcu.org,2025-12-24T11:22:34Z
167,http://www.dakotalandfcu.com,2025-12-24T11:22:37Z
168,http://www.nifedcu.org,2025-12-24T11:22:40Z
176,http://www.edfed.org,2025-12-24T11:22:47Z
187,http://www.famufcu.com,2025-12-24T11:22:50Z
195,http://www.nwarkansasfcu.com,2025-12-24T11:22:54Z
196,http://www.gtefinancial.org,2025-12-24T11:22:57Z
198,http://www.wrfcu.org,2025-12-24T11:23:00Z
199,http://www.choicefcu.com,2025-12-24T11:23:03Z
200,http://www.attpghfcu.com,2025-12-24T11:23:07Z
205,http://www.allegentfcu.org,2025-12-24T11:23:10Z
216,http://www.fedfinancial.org,2025-12-24T11:23:13Z
220,http://www.hopefcu.com,2025-12-24T11:23:16Z
224,http://www.magfedcu.org,2025-12-24T11:23:20Z
227,http://www.penfed.org,2025-12-24T11:23:23Z
233,http://www.infirstfcu.org,2025-12-24T11:23:26Z
234,http://www.pghffcu.org,2025-12-24T11:23:30Z
240,http://www.pittsburghpolicefcu.com,2025-12-24T11:23:33Z
242,http://www.gulfcoastcommunityfcu.org,2025-12-24T11:23:36Z
256,http://www.energyone.org,2025-12-24T11:23:40Z
258,https://www.htfffcu.org,2025-12-24T11:23:43Z
262,http://www.epfcu.org,2025-12-24T11:23:47Z
266,http://WWW.LCFCU.ORG,2025-12-24T11:23:50Z
274,http://www.areafcu.org,2025-12-24T11:23:53Z
287,http://WWW.USNEPFCU.ORG,2025-12-24T11:24:00Z
